,Provision or Clause,Effective Date,Prescribed In,P or C,html_text
12,52.203-14 Display of Hotline Poster(s).,Nov 2021,3.1004(b),C,"
     
(a) Insert the clause at FAR 52.203-13, Contractor
Code of Business Ethics and Conduct, in solicitations and contracts if
the value of the contract is expected to exceed $6 million and the
performance period is 120 days or more.
     
(b)


(1) Unless
the contract is for the acquisition of a commercial product or commercial
service or will be performed entirely outside the United States,
insert the clause at 
                           52.203-14, Display
of Hotline Poster(s), if–
               
(i) The contract exceeds $6 million
or a lesser amount established by the agency; and
               
(ii)


(A) The
agency has a fraud hotline poster; or
                    
(B) The contract
is funded with disaster assistance funds.
          
(2) In paragraph
(b)(3) of the clause, the contracting officer shall–
               
(i) Identify
the applicable posters; and
               
(ii) Insert
the website link(s) or other contact information for obtaining the
agency and/or Department of Homeland Security poster.
          
(3) In paragraph
(d) of the clause, if the agency has established policies and procedures
for display of the OIG fraud hotline poster at a lesser amount,
the contracting officer shall replace "" $6 million "" with the lesser
amount that the agency has established.
"
13,52.203-15 Whistleblower Protections Under the American Recovery and Reinvestment Act of 2009.,June 2010,3.907-7,C,"
Use the clause at 52.203-15, Whistleblower Protections Under the American Recovery and Reinvestment Act of 2009 in all solicitations and contracts funded in whole or in part with Recovery Act funds.
"
14,52.203-16 Preventing Personal Conflicts of Interest.,Jun 2020,3.1106,C,"
     
(a)
                  
						            Insert the clause at 52.203-16, Preventing Personal Conflicts of Interest, in solicitations and contracts that-
          
(1)
                        
								                Exceed the simplified acquisition threshold; and
          
(2)
                        
								                Include a requirement for services by contractor employee(s) that involve performance of acquisition functions closely associated with inherently governmental functions for, or on behalf of, a Federal agency or department.
     
(b)
                  
						            If only a portion of a contract is for the performance of acquisition functions closely associated with inherently governmental functions, then the contracting officer shall still insert the clause, but shall limit applicability of the clause to that portion of the contract that is for the performance of such services.
     
(c)
                  
						            Do not insert the clause in solicitations or contracts with a self-employed individual if the acquisition functions closely associated with inherently governmental functions are to be performed entirely by the self-employed individual, rather than an employee of the contractor.
     
"
15,52.203-17 Contractor Employee Whistleblower Rights and Requirement To Inform Employees of Whistleblower Rights.,Jun 2020,3.908-9,C,"
The contracting officer shall insert the clause at 52.203-17, Contractor Employee Whistleblower Rights and Requirement to Inform Employees of Whistleblower Rights, in all solicitations and contracts that exceed the simplified acquisition threshold.
"
16,52.203-18 Prohibition on Contracting with Entities that Require Certain Internal Confidentiality Agreements or Statements-Representation.,Jan 2017,3.909-3(a),P,"
When using funding subject to the prohibitions in 3.909-1(a), the contracting officer shall-
     
(a)


(1)
                        
								                Include the provision at 52.203-18, Prohibition on Contracting with Entities that Require Certain Internal Confidentiality Agreements or Statements-Representation, in all solicitations, except as provided in paragraph (a)(2) of this section; and
          
(2)
                        
								                Do not insert the provision in solicitations for a personal services contract with an individual if the services are to be performed entirely by the individual, rather than by an employee of the contractor or a subcontractor.
     
(b)


(1)
                        
								                Include the clause at 52.203-19, Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements, in all solicitations and resultant contracts, other than personal services contracts with individuals.
          
(2)
                        
								                Modify existing contracts, other than personal services contracts with individuals, to include the clause before obligating FY 2015 or subsequent FY funds that are subject to the same prohibition on internal confidentiality agreements or statements.
"
17,52.203-19 Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements.,Jan 2017,3.909-3(b),C,"
When using funding subject to the prohibitions in 3.909-1(a), the contracting officer shall-
     
(a)


(1)
                        
								                Include the provision at 52.203-18, Prohibition on Contracting with Entities that Require Certain Internal Confidentiality Agreements or Statements-Representation, in all solicitations, except as provided in paragraph (a)(2) of this section; and
          
(2)
                        
								                Do not insert the provision in solicitations for a personal services contract with an individual if the services are to be performed entirely by the individual, rather than by an employee of the contractor or a subcontractor.
     
(b)


(1)
                        
								                Include the clause at 52.203-19, Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements, in all solicitations and resultant contracts, other than personal services contracts with individuals.
          
(2)
                        
								                Modify existing contracts, other than personal services contracts with individuals, to include the clause before obligating FY 2015 or subsequent FY funds that are subject to the same prohibition on internal confidentiality agreements or statements.
"
18,52.204-1 Approval of Contract.,Dec 1989,4.103,C,"
The contracting officer shall insert the clause at 52.204-1 Approval of Contract, in solicitations and contracts if required by agency procedures.
"
19,52.204-2 Security Requirements.,Mar 2021,4.404(a),C,"
     
(a)
                  
						            The contracting officer shall insert the clause at 52.204-2, Security Requirements, in solicitations and contracts when the contract may require access to classified information, unless the conditions specified in paragraph (d) of this section apply.
     
(b)
                  
						            If a cost contract (see 16.302) for research and development with an educational institution is contemplated, the contracting officer shall use the clause with its Alternate I.
     
(c)
                  
						            If a construction or architect-engineer contract where employee identification is required for security reasons is contemplated, the contracting officer shall use the clause with its Alternate II.
     
(d)
                  
						            If the contracting agency is not covered by the NISP and has prescribed a clause and alternates that are substantially the same as those at 52.204-2, the contracting officer shall use the agency-prescribed clause as required by agency procedures.
"
20,52.204-2_Alternate I,Apr 1984,4.404(a),C,"
     
(a)
                  
						            The contracting officer shall insert the clause at 52.204-2, Security Requirements, in solicitations and contracts when the contract may require access to classified information, unless the conditions specified in paragraph (d) of this section apply.
     
(b)
                  
						            If a cost contract (see 16.302) for research and development with an educational institution is contemplated, the contracting officer shall use the clause with its Alternate I.
     
(c)
                  
						            If a construction or architect-engineer contract where employee identification is required for security reasons is contemplated, the contracting officer shall use the clause with its Alternate II.
     
(d)
                  
						            If the contracting agency is not covered by the NISP and has prescribed a clause and alternates that are substantially the same as those at 52.204-2, the contracting officer shall use the agency-prescribed clause as required by agency procedures.
"
21,52.204-2_Alternate II,Apr 1984,4.404(a),C,"
     
(a)
                  
						            The contracting officer shall insert the clause at 52.204-2, Security Requirements, in solicitations and contracts when the contract may require access to classified information, unless the conditions specified in paragraph (d) of this section apply.
     
(b)
                  
						            If a cost contract (see 16.302) for research and development with an educational institution is contemplated, the contracting officer shall use the clause with its Alternate I.
     
(c)
                  
						            If a construction or architect-engineer contract where employee identification is required for security reasons is contemplated, the contracting officer shall use the clause with its Alternate II.
     
(d)
                  
						            If the contracting agency is not covered by the NISP and has prescribed a clause and alternates that are substantially the same as those at 52.204-2, the contracting officer shall use the agency-prescribed clause as required by agency procedures.
"
22,52.204-3 Taxpayer Identification.,Oct 1998,4.905,P,"
The contracting officer shall insert the provision at 52.204-3, Taxpayer Identification, in solicitations that-
     
(a)
                  
						            Do not include the provision at 52.204-7, System for Award Management; and
     
(b)
                  
						            Are not conducted under the procedures of part  12.
"
23,52.204-4 Printed or Copied Double-Sided on Postconsumer Fiber Content Paper.,May 2011,4.303,C,"
Insert the clause at 52.204-4, Printed or Copied Double-Sided on Recycled Paper, in solicitations and contracts that exceed the simplified acquisition threshold.
"
24,52.204-5 Women-Owned Business (Other Than Small Business).,Oct 2014,4.607(a),P,"
     
(a)
                  
						            Insert the provision at 52.204-5, Women-Owned Business (Other Than Small Business), in all solicitations that-
          
(1)
                        
								                Are not set aside for small business concerns;
          
(2)
                        
								                Exceed the simplified acquisition threshold; and
          
(3)
                        
								                Are for contracts that will be performed in the United States or its outlying areas.
     
(b)
                  
						            Insert the provision at 52.204-6, Unique Entity Identifier, in solicitations that do not contain the provision at 52.204-7, System for Award Management, or meet a condition at 4.605(c)(2).
     
(c)
                  
						            Insert the clause at 52.204-12, Unique Entity Identifier Maintenance, in solicitations and resulting contracts that contain the provision at 52.204-6, Unique Entity Identifier.
"
25,52.204-6 Unique Entity Identifier.,Oct 2016,4.607(b),P,"
     
(a)
                  
						            Insert the provision at 52.204-5, Women-Owned Business (Other Than Small Business), in all solicitations that-
          
(1)
                        
								                Are not set aside for small business concerns;
          
(2)
                        
								                Exceed the simplified acquisition threshold; and
          
(3)
                        
								                Are for contracts that will be performed in the United States or its outlying areas.
     
(b)
                  
						            Insert the provision at 52.204-6, Unique Entity Identifier, in solicitations that do not contain the provision at 52.204-7, System for Award Management, or meet a condition at 4.605(c)(2).
     
(c)
                  
						            Insert the clause at 52.204-12, Unique Entity Identifier Maintenance, in solicitations and resulting contracts that contain the provision at 52.204-6, Unique Entity Identifier.
"
26,52.204-7 System for Award Management.,Oct 2018,4.1105(a)(1),P,"
     
(a)


(1)
                        
								                Insert the provision at 52.204-7, System for Award Management, in all solicitations except when the conditions in 4.1102(a) apply. 
          
(2)
                        
								                Insert the provision at 52.204-7, System for Award Management, with its Alternate I when the solicitation is anticipated to be awarded in accordance with 4.1102(a)(5).
     
(b)
                  
						            Insert the clause at 52.204-13, System for Award Management Maintenance, in solicitations that contain the provision at 52.204-7, and resulting contracts.
"
27,52.204-7_Alternate I,Oct 2018,4.1105(a)(1),P,"
     
(a)


(1)
                        
								                Insert the provision at 52.204-7, System for Award Management, in all solicitations except when the conditions in 4.1102(a) apply. 
          
(2)
                        
								                Insert the provision at 52.204-7, System for Award Management, with its Alternate I when the solicitation is anticipated to be awarded in accordance with 4.1102(a)(5).
     
(b)
                  
						            Insert the clause at 52.204-13, System for Award Management Maintenance, in solicitations that contain the provision at 52.204-7, and resulting contracts.
"
28,52.204-8 Annual Representations and Certifications.,Dec 2022,4.1202(a),P,"
     
(a) Insert the provision at 52.204-8, Annual Representations and
                  Certifications, in solicitations, except for solicitations for commercial products
                  or commercial services issued under part 12.
                  The contracting officer shall check the applicable provisions at 52.204-8(c)(2). Use the provision with its
                  Alternate I in solicitations issued after October 1,
                     2025,
                  that will result in a multiple-award contract with more than one North American
                  Industry Classification System code assigned (see 19.102(b)). When the provision at 52.204-7, System for Award Management, is included
                  in the solicitation, do not separately include the following representations and
                  certifications:
          
(1)
52.203-2, Certificate
of Independent Price Determination.
          
(2)
52.203-11, Certification
and Disclosure Regarding Payments to Influence Certain Federal Transactions.
          
(3)
52.203-18,
Prohibition on Contracting with Entities that Require Certain Internal
Confidentiality Agreements or Statements-Representation.
          
(4)
52.204-3, Taxpayer Identification.
          
(5)
52.204-5, Women-Owned
Business (Other Than Small Business).
          
(6)
52.204-17, Ownership or
Control of Offeror.
          
(7)
52.204-20,
Predecessor of Offeror.
          
(8)
52.204-26,
Covered Telecommunications Equipment or Services-Representation.
          
(9)
52.209-2, Prohibition
on Contracting with Inverted Domestic Corporations-Representation.
          
(10)
52.209-5, Certification
Regarding Responsibility Matters.
          
(11)
52.209-11,
Representation by Corporations Regarding Delinquent Tax Liability
or a Felony Conviction under any Federal Law.
          
(12)
52.214-14, Place of Performance-Sealed
Bidding.
          
(13)
52.215-6, Place of Performance.
          
(14)
52.219-1, Small Business
Program Representations (Basic, Alternates I, and II).
          
(15)
52.219-2, Equal Low Bids.
          
(16) [Reserved]
          
(17)
52.222-18, Certification
Regarding Knowledge of Child Labor for Listed End Products.
          
(18)
52.222-22, Previous Contracts
and Compliance Reports.
          
(19)
52.222-25, Affirmative
Action Compliance.
          
(20)
52.222-38, Compliance
with Veterans’ Employment Reporting Requirements.
          
(21)
52.222-48, Exemption from
Application of the Service Contract Labor Standards to Contracts
for Maintenance, Calibration, or Repair of Certain Equipment–Certification.
          
(22)
52.222-52, Exemption from
Application of the Service Contract Labor Standards to Contracts
for Certain Services-Certification.
          
(23)
52.223-1, Biobased Product
Certification.
          
(24)
52.223-4, Recovered Material
Certification.
          
(25)
52.223-9, Estimate of
Percentage of Recovered Material Content for EPA-Designated Items
(Alternate I only).
          
(26)
52.223-22, Public Disclosure
of Greenhouse Gas Emissions and Reduction Goals-Representation.
          
(27)
52.225-2, Buy American
Certificate.
          
(28)
52.225-4, Buy American-Free Trade Agreements-Israeli Trade Act Certificate (Basic, Alternates II, and III).

          
(29)
52.225-6, Trade Agreements
Certificate.
          
(30)
52.225-20, Prohibition
on Conducting Restricted Business Operations in Sudan-Certification.
          
(31)
52.225-25, Prohibition
on Contracting with Entities Engaging in Certain Activities or Transactions
Relating to Iran-Representation and Certifications.
          
(32)
52.226-2, Historically
Black College or University and Minority Institution Representation.
          
(33)
52.227-6, Royalty Information
(Basic & Alternate I).
          
(34)
52.227-15, Representation
of Limited Rights Data and Restricted Computer Software.
     
(b) The contracting
officer shall insert the clause at 52.204-19, Incorporation
by Reference of Representations and Certifications, in solicitations
and contracts.
"
29,52.204-8_Alternate I,SEP 2021,4.1202(a),P,"
     
(a) Insert the provision at 52.204-8, Annual Representations and
                  Certifications, in solicitations, except for solicitations for commercial products
                  or commercial services issued under part 12.
                  The contracting officer shall check the applicable provisions at 52.204-8(c)(2). Use the provision with its
                  Alternate I in solicitations issued after October 1,
                     2025,
                  that will result in a multiple-award contract with more than one North American
                  Industry Classification System code assigned (see 19.102(b)). When the provision at 52.204-7, System for Award Management, is included
                  in the solicitation, do not separately include the following representations and
                  certifications:
          
(1)
52.203-2, Certificate
of Independent Price Determination.
          
(2)
52.203-11, Certification
and Disclosure Regarding Payments to Influence Certain Federal Transactions.
          
(3)
52.203-18,
Prohibition on Contracting with Entities that Require Certain Internal
Confidentiality Agreements or Statements-Representation.
          
(4)
52.204-3, Taxpayer Identification.
          
(5)
52.204-5, Women-Owned
Business (Other Than Small Business).
          
(6)
52.204-17, Ownership or
Control of Offeror.
          
(7)
52.204-20,
Predecessor of Offeror.
          
(8)
52.204-26,
Covered Telecommunications Equipment or Services-Representation.
          
(9)
52.209-2, Prohibition
on Contracting with Inverted Domestic Corporations-Representation.
          
(10)
52.209-5, Certification
Regarding Responsibility Matters.
          
(11)
52.209-11,
Representation by Corporations Regarding Delinquent Tax Liability
or a Felony Conviction under any Federal Law.
          
(12)
52.214-14, Place of Performance-Sealed
Bidding.
          
(13)
52.215-6, Place of Performance.
          
(14)
52.219-1, Small Business
Program Representations (Basic, Alternates I, and II).
          
(15)
52.219-2, Equal Low Bids.
          
(16) [Reserved]
          
(17)
52.222-18, Certification
Regarding Knowledge of Child Labor for Listed End Products.
          
(18)
52.222-22, Previous Contracts
and Compliance Reports.
          
(19)
52.222-25, Affirmative
Action Compliance.
          
(20)
52.222-38, Compliance
with Veterans’ Employment Reporting Requirements.
          
(21)
52.222-48, Exemption from
Application of the Service Contract Labor Standards to Contracts
for Maintenance, Calibration, or Repair of Certain Equipment–Certification.
          
(22)
52.222-52, Exemption from
Application of the Service Contract Labor Standards to Contracts
for Certain Services-Certification.
          
(23)
52.223-1, Biobased Product
Certification.
          
(24)
52.223-4, Recovered Material
Certification.
          
(25)
52.223-9, Estimate of
Percentage of Recovered Material Content for EPA-Designated Items
(Alternate I only).
          
(26)
52.223-22, Public Disclosure
of Greenhouse Gas Emissions and Reduction Goals-Representation.
          
(27)
52.225-2, Buy American
Certificate.
          
(28)
52.225-4, Buy American-Free Trade Agreements-Israeli Trade Act Certificate (Basic, Alternates II, and III).

          
(29)
52.225-6, Trade Agreements
Certificate.
          
(30)
52.225-20, Prohibition
on Conducting Restricted Business Operations in Sudan-Certification.
          
(31)
52.225-25, Prohibition
on Contracting with Entities Engaging in Certain Activities or Transactions
Relating to Iran-Representation and Certifications.
          
(32)
52.226-2, Historically
Black College or University and Minority Institution Representation.
          
(33)
52.227-6, Royalty Information
(Basic & Alternate I).
          
(34)
52.227-15, Representation
of Limited Rights Data and Restricted Computer Software.
     
(b) The contracting
officer shall insert the clause at 52.204-19, Incorporation
by Reference of Representations and Certifications, in solicitations
and contracts.
"
30,52.204-9 Personal Identity Verification of Contractor Personnel.,Jan 2011,4.1303,C,"
The contracting officer shall insert the clause at 52.204-9, Personal Identity Verification of Contractor Personnel, in solicitations and contracts when contract performance requires contractors to have routine physical access to a Federally-controlled facility and/or routine access to a Federally-controlled information system. The clause shall not be used when contractors require only intermittent access to Federally-controlled facilities.
"
31,52.204-10 Reporting Executive Compensation and First-Tier Subcontract Awards.,Jun 2020,4.1403(a),C,"
     
(a)
                  
						            Except as provided in paragraph (b) of this section, the contracting officer shall insert the clause at 52.204-10, Reporting Executive Compensation and First-Tier Subcontract Awards, in all solicitations and contracts of $30,000 or more.
     
(b)
                  
						            The clause is not prescribed for contracts that are not required to be reported in the Federal Procurement Data System (FPDS) (see subpart  4.6).
"
32,52.204-12 Unique Entity Identifier Maintenance.,Oct 2016,4.607(c),C,"
     
(a)
                  
						            Insert the provision at 52.204-5, Women-Owned Business (Other Than Small Business), in all solicitations that-
          
(1)
                        
								                Are not set aside for small business concerns;
          
(2)
                        
								                Exceed the simplified acquisition threshold; and
          
(3)
                        
								                Are for contracts that will be performed in the United States or its outlying areas.
     
(b)
                  
						            Insert the provision at 52.204-6, Unique Entity Identifier, in solicitations that do not contain the provision at 52.204-7, System for Award Management, or meet a condition at 4.605(c)(2).
     
(c)
                  
						            Insert the clause at 52.204-12, Unique Entity Identifier Maintenance, in solicitations and resulting contracts that contain the provision at 52.204-6, Unique Entity Identifier.
"
33,52.204-13 System for Award Management Maintenance.,Oct 2018,4.1105(b),C,"
     
(a)


(1)
                        
								                Insert the provision at 52.204-7, System for Award Management, in all solicitations except when the conditions in 4.1102(a) apply. 
          
(2)
                        
								                Insert the provision at 52.204-7, System for Award Management, with its Alternate I when the solicitation is anticipated to be awarded in accordance with 4.1102(a)(5).
     
(b)
                  
						            Insert the clause at 52.204-13, System for Award Management Maintenance, in solicitations that contain the provision at 52.204-7, and resulting contracts.
"
34,52.204-14 Service Contract Reporting Requirements.,Oct 2016,4.1705(a),C,"
     
(a)
                  
						            The contracting officer shall insert the clause at 52.204-14, Service Contract Reporting Requirements, in solicitations and contracts for services (including construction) that meet or exceed the thresholds at 4.1703, except for indefinite-delivery contracts. This clause is not required for actions entirely funded by DoD, contracts awarded with a generic entity identifier, or in classified solicitations, contracts, or orders.
     
(b)
                  
						            The contracting officer shall insert the clause at 52.204-15, Service Contract Reporting Requirements for Indefinite-Delivery Contracts, in solicitations and indefinite-delivery contracts for services (including construction) where one or more orders issued thereunder are expected to each meet or exceed the thresholds at 4.1703. This clause is not required for actions entirely funded by DoD, contracts awarded with a generic entity identifier, or in classified solicitations, contracts, or orders.
     
"
35,52.204-15 Service Contract Reporting Requirements for Indefinite-Delivery Contracts.,Oct 2016,4.1705(b),C,"
     
(a)
                  
						            The contracting officer shall insert the clause at 52.204-14, Service Contract Reporting Requirements, in solicitations and contracts for services (including construction) that meet or exceed the thresholds at 4.1703, except for indefinite-delivery contracts. This clause is not required for actions entirely funded by DoD, contracts awarded with a generic entity identifier, or in classified solicitations, contracts, or orders.
     
(b)
                  
						            The contracting officer shall insert the clause at 52.204-15, Service Contract Reporting Requirements for Indefinite-Delivery Contracts, in solicitations and indefinite-delivery contracts for services (including construction) where one or more orders issued thereunder are expected to each meet or exceed the thresholds at 4.1703. This clause is not required for actions entirely funded by DoD, contracts awarded with a generic entity identifier, or in classified solicitations, contracts, or orders.
     
"
36,52.204-16 Commercial and Government Entity Code Reporting.,Aug 2020,4.1804(a),P,"
     
(a)
                  
						            Insert the provision at 52.204-16, Commercial and Government Entity Code Reporting, in all solicitations that include–
          
(1)
52.204-6, Unique Entity Identifier; or
          
(2)
52.204-7, System for Award Management.
     
(b)
                  
						            Insert the provision at 52.204-17, Ownership or Control of Offeror, in all solicitations that include the provision at 52.204-16, Commercial and Government Entity Code Reporting.
     
(c)
                  
						            Insert the clause at 52.204-18, Commercial and Government Entity Code Maintenance, in all solicitations and contracts when the solicitation contains the provision at 52.204-16, Commercial and Government Entity Code Reporting.
     
(d)
                  
						            Insert the provision at 52.204-20, Predecessor of Offeror, in all solicitations that include the provision at 52.204-16, Commercial and Government Entity Code Reporting.
"
37,52.204-17  Ownership or Control of Offeror.,Aug 2020,4.1804(b),P,"
     
(a)
                  
						            Insert the provision at 52.204-16, Commercial and Government Entity Code Reporting, in all solicitations that include–
          
(1)
52.204-6, Unique Entity Identifier; or
          
(2)
52.204-7, System for Award Management.
     
(b)
                  
						            Insert the provision at 52.204-17, Ownership or Control of Offeror, in all solicitations that include the provision at 52.204-16, Commercial and Government Entity Code Reporting.
     
(c)
                  
						            Insert the clause at 52.204-18, Commercial and Government Entity Code Maintenance, in all solicitations and contracts when the solicitation contains the provision at 52.204-16, Commercial and Government Entity Code Reporting.
     
(d)
                  
						            Insert the provision at 52.204-20, Predecessor of Offeror, in all solicitations that include the provision at 52.204-16, Commercial and Government Entity Code Reporting.
"
38,52.204-18 Commercial and Government Entity Code Maintenance.,Aug 2020,4.1804(c),C,"
     
(a)
                  
						            Insert the provision at 52.204-16, Commercial and Government Entity Code Reporting, in all solicitations that include–
          
(1)
52.204-6, Unique Entity Identifier; or
          
(2)
52.204-7, System for Award Management.
     
(b)
                  
						            Insert the provision at 52.204-17, Ownership or Control of Offeror, in all solicitations that include the provision at 52.204-16, Commercial and Government Entity Code Reporting.
     
(c)
                  
						            Insert the clause at 52.204-18, Commercial and Government Entity Code Maintenance, in all solicitations and contracts when the solicitation contains the provision at 52.204-16, Commercial and Government Entity Code Reporting.
     
(d)
                  
						            Insert the provision at 52.204-20, Predecessor of Offeror, in all solicitations that include the provision at 52.204-16, Commercial and Government Entity Code Reporting.
"
